dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_norm,hum_norm,windspeed_norm,casual,registered,cnt,temp_real,atemp_norm_calc,hum_real,windspeed_real,hum_qual
2011-02-20,winter,2011,feb,no,sunday,no,weather1,0.285217,0.407826,0.223235,639,1173,1812,5,0.3181818181818182,40.78,14.96,baixa
2011-02-21,winter,2011,feb,yes,monday,no,weather2,0.303333,0.605,0.307846,195,912,1107,6,0.3333333333333333,60.5,20.63,média
2011-02-22,winter,2011,feb,no,tuesday,yes,weather1,0.182222,0.577778,0.195683,74,1376,1450,1,0.25757575757575757,57.78,13.11,média
2011-02-23,winter,2011,feb,no,wednesday,yes,weather1,0.221739,0.423043,0.094113,139,1778,1917,2,0.2727272727272727,42.3,6.31,baixa
2011-02-24,winter,2011,feb,no,thursday,yes,weather2,0.295652,0.697391,0.250496,100,1707,1807,6,0.3333333333333333,69.74,16.78,média
2011-02-25,winter,2011,feb,no,friday,yes,weather2,0.364348,0.712174,0.346539,120,1341,1461,9,0.3787878787878788,71.22,23.22,alta
2011-02-26,winter,2011,feb,no,saturday,no,weather1,0.2825,0.537917,0.186571,424,1545,1969,5,0.3181818181818182,53.79,12.5,média
2011-02-27,winter,2011,feb,no,sunday,no,weather1,0.343478,0.68,0.125248,694,1708,2402,8,0.36363636363636365,68,8.39,média
2011-02-28,winter,2011,feb,no,monday,yes,weather2,0.407273,0.876364,0.289686,81,1365,1446,11,0.4090909090909091,87.64,19.41,alta
2011-03-01,springer,2011,mar,no,tuesday,yes,weather1,0.266667,0.535,0.216425,137,1714,1851,5,0.3181818181818182,53.5,14.5,média
2011-03-02,springer,2011,mar,no,wednesday,yes,weather1,0.335,0.449583,0.307833,231,1903,2134,8,0.36363636363636365,44.96,20.62,baixa
2011-03-03,springer,2011,mar,no,thursday,yes,weather1,0.198333,0.318333,0.225754,123,1562,1685,1,0.25757575757575757,31.83,15.13,baixa
2011-03-04,springer,2011,mar,no,friday,yes,weather2,0.261667,0.610417,0.203346,214,1730,1944,4,0.30303030303030304,61.04,13.62,média
2011-03-05,springer,2011,mar,no,saturday,no,weather2,0.384167,0.789167,0.251871,640,1437,2077,10,0.3939393939393939,78.92,16.88,alta
2011-03-06,springer,2011,mar,no,sunday,no,weather2,0.376522,0.948261,0.343287,114,491,605,10,0.3939393939393939,94.83,23,alta
2011-03-07,springer,2011,mar,no,monday,yes,weather1,0.261739,0.551304,0.341352,244,1628,1872,4,0.30303030303030304,55.13,22.87,média
2011-03-08,springer,2011,mar,no,tuesday,yes,weather1,0.2925,0.420833,0.12065,316,1817,2133,6,0.3333333333333333,42.08,8.08,baixa
2011-03-09,springer,2011,mar,no,wednesday,yes,weather2,0.295833,0.775417,0.22015,191,1700,1891,6,0.3333333333333333,77.54,14.75,alta
2011-03-10,springer,2011,mar,no,thursday,yes,weather3,0.389091,0,0.261877,46,577,623,10,0.3939393939393939,0,17.55,baixa
2011-03-11,springer,2011,mar,no,friday,yes,weather2,0.316522,0.649565,0.23297,247,1730,1977,7,0.3484848484848485,64.96,15.61,média
2011-03-12,springer,2011,mar,no,saturday,no,weather1,0.329167,0.594583,0.220775,724,1408,2132,7,0.3484848484848485,59.46,14.79,média
2011-03-13,springer,2011,mar,no,sunday,no,weather1,0.384348,0.527391,0.270604,982,1435,2417,10,0.3939393939393939,52.74,18.13,média
2011-03-14,springer,2011,mar,no,monday,yes,weather1,0.325217,0.496957,0.136926,359,1687,2046,7,0.3484848484848485,49.7,9.17,baixa
2011-03-15,springer,2011,mar,no,tuesday,yes,weather2,0.317391,0.655652,0.184309,289,1767,2056,7,0.3484848484848485,65.57,12.35,média
2011-03-16,springer,2011,mar,no,wednesday,yes,weather2,0.365217,0.776522,0.203117,321,1871,2192,9,0.3787878787878788,77.65,13.61,alta
2011-03-17,springer,2011,mar,no,thursday,yes,weather1,0.415,0.602917,0.209579,424,2320,2744,12,0.42424242424242425,60.29,14.04,média
2011-03-18,springer,2011,mar,no,friday,yes,weather1,0.54,0.525217,0.231017,884,2355,3239,17,0.5,52.52,15.48,média
2011-03-19,springer,2011,mar,no,saturday,no,weather1,0.4725,0.379167,0.368167,1424,1693,3117,14,0.45454545454545453,37.92,24.67,baixa
2011-03-20,springer,2011,mar,no,sunday,no,weather1,0.3325,0.47375,0.207721,1047,1424,2471,8,0.36363636363636365,47.38,13.92,baixa
2011-03-21,springer,2011,mar,no,monday,yes,weather2,0.430435,0.737391,0.288783,401,1676,2077,12,0.42424242424242425,73.74,19.35,alta
2011-03-22,springer,2011,mar,no,tuesday,yes,weather1,0.441667,0.624583,0.22575,460,2243,2703,13,0.4393939393939394,62.46,15.13,média
2011-03-23,springer,2011,mar,no,wednesday,yes,weather2,0.346957,0.839565,0.234261,203,1918,2121,8,0.36363636363636365,83.96,15.7,alta
2011-03-24,springer,2011,mar,no,thursday,yes,weather2,0.285,0.805833,0.243787,166,1699,1865,5,0.3181818181818182,80.58,16.33,alta
2011-03-25,springer,2011,mar,no,friday,yes,weather1,0.264167,0.495,0.230725,300,1910,2210,4,0.30303030303030304,49.5,15.46,baixa
2011-03-26,springer,2011,mar,no,saturday,no,weather1,0.265833,0.394167,0.209571,981,1515,2496,4,0.30303030303030304,39.42,14.04,baixa
2011-03-27,springer,2011,mar,no,sunday,no,weather2,0.253043,0.493913,0.1843,472,1221,1693,4,0.30303030303030304,49.39,12.35,baixa
2011-03-28,springer,2011,mar,no,monday,yes,weather1,0.264348,0.302174,0.212204,222,1806,2028,4,0.30303030303030304,30.22,14.22,baixa
2011-03-29,springer,2011,mar,no,tuesday,yes,weather1,0.3025,0.314167,0.226996,317,2108,2425,6,0.3333333333333333,31.42,15.21,baixa
2011-03-30,springer,2011,mar,no,wednesday,yes,weather2,0.3,0.646667,0.17288799999999999,168,1368,1536,6,0.3333333333333333,64.67,11.58,média
2011-03-31,springer,2011,mar,no,thursday,yes,weather3,0.268333,0.918333,0.217646,179,1506,1685,5,0.3181818181818182,91.83,14.58,alta
2011-04-01,springer,2011,apr,no,friday,yes,weather2,0.3,0.68625,0.258708,307,1920,2227,6,0.3333333333333333,68.62,17.33,média
2011-04-02,springer,2011,apr,no,saturday,no,weather2,0.315,0.65375,0.197146,898,1354,2252,7,0.3484848484848485,65.38,13.21,média
2011-04-03,springer,2011,apr,no,sunday,no,weather1,0.378333,0.48,0.18221300000000001,1651,1598,3249,10,0.3939393939393939,48,12.21,baixa
2011-04-04,springer,2011,apr,no,monday,yes,weather1,0.573333,0.42625,0.385571,734,2381,3115,19,0.5303030303030303,42.62,25.83,baixa
2011-04-05,springer,2011,apr,no,tuesday,yes,weather2,0.414167,0.642083,0.388067,167,1628,1795,11,0.4090909090909091,64.21,26,média
2011-04-06,springer,2011,apr,no,wednesday,yes,weather1,0.390833,0.470833,0.263063,413,2395,2808,10,0.3939393939393939,47.08,17.63,baixa
2011-04-07,springer,2011,apr,no,thursday,yes,weather1,0.4375,0.602917,0.162312,571,2570,3141,13,0.4393939393939394,60.29,10.87,média
2011-04-08,springer,2011,apr,no,friday,yes,weather2,0.335833,0.83625,0.226992,172,1299,1471,8,0.36363636363636365,83.62,15.21,alta
2011-04-09,springer,2011,apr,no,saturday,no,weather2,0.3425,0.8775,0.133083,879,1576,2455,8,0.36363636363636365,87.75,8.92,alta
2011-04-10,springer,2011,apr,no,sunday,no,weather2,0.426667,0.8575,0.146767,1188,1707,2895,12,0.42424242424242425,85.75,9.83,alta
2011-04-11,springer,2011,apr,no,monday,yes,weather2,0.595652,0.716956,0.324474,855,2493,3348,20,0.5454545454545454,71.7,21.74,alta
2011-04-12,springer,2011,apr,no,tuesday,yes,weather2,0.5025,0.739167,0.274879,257,1777,2034,16,0.48484848484848486,73.92,18.42,alta
2011-04-13,springer,2011,apr,no,wednesday,yes,weather2,0.4125,0.819167,0.250617,209,1953,2162,11,0.4090909090909091,81.92,16.79,alta
2011-04-14,springer,2011,apr,no,thursday,yes,weather1,0.4675,0.540417,0.1107,529,2738,3267,14,0.45454545454545453,54.04,7.42,média
2011-04-15,springer,2011,apr,yes,friday,no,weather1,0.446667,0.67125,0.226375,642,2484,3126,13,0.4393939393939394,67.12,15.17,média
2011-04-16,springer,2011,apr,no,saturday,no,weather3,0.430833,0.888333,0.340808,121,674,795,12,0.42424242424242425,88.83,22.83,alta
2011-04-17,springer,2011,apr,no,sunday,no,weather1,0.456667,0.479583,0.303496,1558,2186,3744,13,0.4393939393939394,47.96,20.33,baixa
2011-04-18,springer,2011,apr,no,monday,yes,weather1,0.5125,0.5425,0.163567,669,2760,3429,16,0.48484848484848486,54.25,10.96,média
2011-04-19,springer,2011,apr,no,tuesday,yes,weather2,0.505833,0.665833,0.157971,409,2795,3204,16,0.48484848484848486,66.58,10.58,média
2011-04-20,springer,2011,apr,no,wednesday,yes,weather1,0.595,0.614167,0.241925,613,3331,3944,20,0.5454545454545454,61.42,16.21,média
2011-04-21,springer,2011,apr,no,thursday,yes,weather1,0.459167,0.407083,0.325258,745,3444,4189,14,0.45454545454545453,40.71,21.79,baixa
2011-04-22,springer,2011,apr,no,friday,yes,weather2,0.336667,0.729583,0.219521,177,1506,1683,8,0.36363636363636365,72.96,14.71,alta
2011-04-23,springer,2011,apr,no,saturday,no,weather2,0.46,0.887917,0.230725,1462,2574,4036,14,0.45454545454545453,88.79,15.46,alta
2011-04-24,springer,2011,apr,no,sunday,no,weather2,0.581667,0.810833,0.192175,1710,2481,4191,19,0.5303030303030303,81.08,12.88,alta
2011-04-25,springer,2011,apr,no,monday,yes,weather1,0.606667,0.776667,0.185333,773,3300,4073,21,0.5606060606060606,77.67,12.42,alta
2011-04-26,springer,2011,apr,no,tuesday,yes,weather1,0.631667,0.729167,0.3265,678,3722,4400,22,0.5757575757575758,72.92,21.88,alta
2011-04-27,springer,2011,apr,no,wednesday,yes,weather2,0.62,0.835417,0.3122,547,3325,3872,21,0.5606060606060606,83.54,20.92,alta
2011-04-28,springer,2011,apr,no,thursday,yes,weather2,0.6175,0.700833,0.320908,569,3489,4058,21,0.5606060606060606,70.08,21.5,alta
2011-04-29,springer,2011,apr,no,friday,yes,weather1,0.51,0.457083,0.240063,878,3717,4595,16,0.48484848484848486,45.71,16.08,baixa
2011-04-30,springer,2011,apr,no,saturday,no,weather1,0.4725,0.503333,0.235075,1965,3347,5312,14,0.45454545454545453,50.33,15.75,média
2011-05-01,springer,2011,mai,no,sunday,no,weather2,0.451667,0.762083,0.106354,1138,2213,3351,13,0.4393939393939394,76.21,7.13,alta
2011-05-02,springer,2011,mai,no,monday,yes,weather2,0.549167,0.73,0.183454,847,3554,4401,18,0.5151515151515151,73,12.29,alta
2011-05-03,springer,2011,mai,no,tuesday,yes,weather2,0.616667,0.697083,0.342667,603,3848,4451,21,0.5606060606060606,69.71,22.96,média
2011-05-04,springer,2011,mai,no,wednesday,yes,weather2,0.414167,0.737083,0.328996,255,2378,2633,11,0.4090909090909091,73.71,22.04,alta
2011-05-05,springer,2011,mai,no,thursday,yes,weather1,0.459167,0.444167,0.295392,614,3819,4433,14,0.45454545454545453,44.42,19.79,baixa
2011-05-06,springer,2011,mai,no,friday,yes,weather1,0.479167,0.59,0.228246,894,3714,4608,15,0.4696969696969697,59,15.29,média
2011-05-07,springer,2011,mai,no,saturday,no,weather1,0.52,0.54125,0.16045,1612,3102,4714,16,0.48484848484848486,54.12,10.75,média
2011-05-08,springer,2011,mai,no,sunday,no,weather1,0.528333,0.631667,0.0746375,1401,2932,4333,17,0.5,63.17,5,média
2011-05-09,springer,2011,mai,no,monday,yes,weather1,0.5325,0.58875,0.176,664,3698,4362,17,0.5,58.88,11.79,média
2011-05-10,springer,2011,mai,no,tuesday,yes,weather1,0.5325,0.489167,0.115671,694,4109,4803,17,0.5,48.92,7.75,baixa
2011-05-11,springer,2011,mai,no,wednesday,yes,weather1,0.5425,0.632917,0.120642,550,3632,4182,17,0.5,63.29,8.08,média
2011-05-12,springer,2011,mai,no,thursday,yes,weather1,0.535,0.7475,0.189667,695,4169,4864,17,0.5,74.75,12.71,alta
2011-05-13,springer,2011,mai,no,friday,yes,weather2,0.5125,0.863333,0.179725,692,3413,4105,16,0.48484848484848486,86.33,12.04,alta
2011-05-14,springer,2011,mai,no,saturday,no,weather2,0.520833,0.9225,0.13495,902,2507,3409,16,0.48484848484848486,92.25,9.04,alta
2011-05-15,springer,2011,mai,no,sunday,no,weather2,0.5625,0.867083,0.152979,1582,2971,4553,18,0.5151515151515151,86.71,10.25,alta
2011-05-16,springer,2011,mai,no,monday,yes,weather1,0.5775,0.787917,0.126871,773,3185,3958,19,0.5303030303030303,78.79,8.5,alta
2011-05-17,springer,2011,mai,no,tuesday,yes,weather2,0.561667,0.837917,0.277354,678,3445,4123,18,0.5151515151515151,83.79,18.58,alta
2011-05-18,springer,2011,mai,no,wednesday,yes,weather2,0.55,0.87,0.201492,536,3319,3855,18,0.5151515151515151,87,13.5,alta
2011-05-19,springer,2011,mai,no,thursday,yes,weather2,0.530833,0.829583,0.108213,735,3840,4575,17,0.5,82.96,7.25,alta
2011-05-20,springer,2011,mai,no,friday,yes,weather1,0.536667,0.719583,0.125013,909,4008,4917,17,0.5,71.96,8.38,alta
2011-05-21,springer,2011,mai,no,saturday,no,weather1,0.6025,0.626667,0.12065,2258,3547,5805,20,0.5454545454545454,62.67,8.08,média
2011-05-22,springer,2011,mai,no,sunday,no,weather1,0.604167,0.749583,0.148008,1576,3084,4660,20,0.5454545454545454,74.96,9.92,alta
2011-05-23,springer,2011,mai,no,monday,yes,weather2,0.631667,0.81,0.233842,836,3438,4274,22,0.5757575757575758,81,15.67,alta
2011-05-24,springer,2011,mai,no,tuesday,yes,weather2,0.66,0.740833,0.207092,659,3833,4492,23,0.5909090909090909,74.08,13.88,alta
2011-05-25,springer,2011,mai,no,wednesday,yes,weather1,0.660833,0.69625,0.154233,740,4238,4978,23,0.5909090909090909,69.62,10.33,média
2011-05-26,springer,2011,mai,no,thursday,yes,weather1,0.708333,0.6775,0.19964199999999999,758,3919,4677,25,0.6212121212121212,67.75,13.38,média
2011-05-27,springer,2011,mai,no,friday,yes,weather1,0.681667,0.65375,0.240679,871,3808,4679,24,0.6060606060606061,65.38,16.13,média
2011-05-28,springer,2011,mai,no,saturday,no,weather1,0.655833,0.729583,0.230092,2001,2757,4758,23,0.5909090909090909,72.96,15.42,alta
2011-05-29,springer,2011,mai,no,sunday,no,weather1,0.6675,0.81875,0.213938,2355,2433,4788,23,0.5909090909090909,81.88,14.33,alta
2011-05-30,springer,2011,mai,yes,monday,no,weather1,0.733333,0.685,0.131225,1549,2549,4098,26,0.6363636363636364,68.5,8.79,média
2011-05-31,springer,2011,mai,no,tuesday,yes,weather1,0.775,0.636667,0.111329,673,3309,3982,28,0.6666666666666666,63.67,7.46,média
2011-06-01,summer,2011,jun,no,wednesday,yes,weather2,0.764167,0.677083,0.207092,513,3461,3974,28,0.6666666666666666,67.71,13.88,média
2011-06-02,summer,2011,jun,no,thursday,yes,weather1,0.715,0.305,0.292287,736,4232,4968,26,0.6363636363636364,30.5,19.58,baixa
2011-06-03,summer,2011,jun,no,friday,yes,weather1,0.62,0.354167,0.253121,898,4414,5312,21,0.5606060606060606,35.42,16.96,baixa
2011-06-04,summer,2011,jun,no,saturday,no,weather1,0.635,0.45625,0.123142,1869,3473,5342,22,0.5757575757575758,45.62,8.25,baixa
2011-06-05,summer,2011,jun,no,sunday,no,weather2,0.648333,0.6525,0.138692,1685,3221,4906,22,0.5757575757575758,65.25,9.29,média
2011-06-06,summer,2011,jun,no,monday,yes,weather1,0.678333,0.6,0.121896,673,3875,4548,24,0.6060606060606061,60,8.17,média
2011-06-07,summer,2011,jun,no,tuesday,yes,weather1,0.7075,0.597917,0.187808,763,4070,4833,25,0.6212121212121212,59.79,12.58,média
2011-06-08,summer,2011,jun,no,wednesday,yes,weather1,0.775833,0.622083,0.136817,676,3725,4401,28,0.6666666666666666,62.21,9.17,média
2011-06-09,summer,2011,jun,no,thursday,yes,weather2,0.808333,0.568333,0.149883,563,3352,3915,30,0.696969696969697,56.83,10.04,média
2011-06-10,summer,2011,jun,no,friday,yes,weather1,0.755,0.605,0.140554,815,3771,4586,27,0.6515151515151515,60.5,9.42,média
2011-06-11,summer,2011,jun,no,saturday,no,weather1,0.725,0.654583,0.15485,1729,3237,4966,26,0.6363636363636364,65.46,10.37,média
2011-06-12,summer,2011,jun,no,sunday,no,weather1,0.6925,0.747917,0.163567,1467,2993,4460,25,0.6212121212121212,74.79,10.96,alta
2011-06-13,summer,2011,jun,no,monday,yes,weather1,0.635,0.494583,0.30535,863,4157,5020,22,0.5757575757575758,49.46,20.46,baixa
2011-06-14,summer,2011,jun,no,tuesday,yes,weather1,0.604167,0.507083,0.269283,727,4164,4891,20,0.5454545454545454,50.71,18.04,média
2011-06-15,summer,2011,jun,no,wednesday,yes,weather1,0.626667,0.471667,0.167912,769,4411,5180,21,0.5606060606060606,47.17,11.25,baixa
2011-06-16,summer,2011,jun,no,thursday,yes,weather2,0.628333,0.688333,0.206471,545,3222,3767,22,0.5757575757575758,68.83,13.83,média
2011-06-17,summer,2011,jun,no,friday,yes,weather1,0.649167,0.735833,0.143029,863,3981,4844,23,0.5909090909090909,73.58,9.58,alta
2011-06-18,summer,2011,jun,no,saturday,no,weather1,0.696667,0.670417,0.119408,1807,3312,5119,25,0.6212121212121212,67.04,8,média
2011-06-19,summer,2011,jun,no,sunday,no,weather2,0.699167,0.666667,0.102,1639,3105,4744,25,0.6212121212121212,66.67,6.83,média
2011-06-20,summer,2011,jun,no,monday,yes,weather2,0.635,0.74625,0.155475,699,3311,4010,22,0.5757575757575758,74.62,10.42,alta
2011-06-21,summer,2011,jun,no,tuesday,yes,weather2,0.680833,0.770417,0.171025,774,4061,4835,24,0.6060606060606061,77.04,11.46,alta
2011-06-22,summer,2011,jun,no,wednesday,yes,weather1,0.733333,0.7075,0.172262,661,3846,4507,26,0.6363636363636364,70.75,11.54,alta
2011-06-23,summer,2011,jun,no,thursday,yes,weather2,0.728333,0.703333,0.238804,746,4044,4790,26,0.6363636363636364,70.33,16,alta
2011-06-24,summer,2011,jun,no,friday,yes,weather1,0.724167,0.573333,0.222025,969,4022,4991,26,0.6363636363636364,57.33,14.88,média
2011-06-25,summer,2011,jun,no,saturday,no,weather1,0.695,0.483333,0.209571,1782,3420,5202,25,0.6212121212121212,48.33,14.04,baixa
2011-06-26,summer,2011,jun,no,sunday,no,weather1,0.68,0.513333,0.0945333,1920,3385,5305,24,0.6060606060606061,51.33,6.33,média
2011-06-27,summer,2011,jun,no,monday,yes,weather2,0.6825,0.658333,0.107588,854,3854,4708,24,0.6060606060606061,65.83,7.21,média
2011-06-28,summer,2011,jun,no,tuesday,yes,weather1,0.744167,0.634167,0.144283,732,3916,4648,27,0.6515151515151515,63.42,9.67,média
2011-06-29,summer,2011,jun,no,wednesday,yes,weather1,0.728333,0.497917,0.261821,848,4377,5225,26,0.6363636363636364,49.79,17.54,baixa
2011-06-30,summer,2011,jun,no,thursday,yes,weather1,0.696667,0.434167,0.185312,1027,4488,5515,25,0.6212121212121212,43.42,12.42,baixa
2011-07-01,summer,2011,jul,no,friday,yes,weather1,0.7225,0.39625,0.102608,1246,4116,5362,26,0.6363636363636364,39.62,6.87,baixa
2011-07-02,summer,2011,jul,no,saturday,no,weather1,0.738333,0.444583,0.115062,2204,2915,5119,27,0.6515151515151515,44.46,7.71,baixa
2011-07-03,summer,2011,jul,no,sunday,no,weather2,0.716667,0.6825,0.228858,2282,2367,4649,26,0.6363636363636364,68.25,15.33,média
2011-07-04,summer,2011,jul,yes,monday,no,weather2,0.726667,0.637917,0.0814792,3065,2978,6043,26,0.6363636363636364,63.79,5.46,média
2011-07-05,summer,2011,jul,no,tuesday,yes,weather1,0.746667,0.590417,0.126258,1031,3634,4665,27,0.6515151515151515,59.04,8.46,média
2011-07-06,summer,2011,jul,no,wednesday,yes,weather1,0.72,0.743333,0.149883,784,3845,4629,26,0.6363636363636364,74.33,10.04,alta
2011-07-07,summer,2011,jul,no,thursday,yes,weather1,0.75,0.65125,0.1592,754,3838,4592,27,0.6515151515151515,65.12,10.67,média
2011-07-08,summer,2011,jul,no,friday,yes,weather2,0.709167,0.757917,0.225129,692,3348,4040,25,0.6212121212121212,75.79,15.08,alta
